Age,Attrition,BusinessTravel,Department,DistanceFromHome,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,2,Female,3,2,Sales Executive,4,Single,5993,Yes,8,1,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,3,Male,2,2,Research Scientist,2,Married,5130,No,10,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,4,Male,2,1,Laboratory Technician,3,Single,2090,Yes,7,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,Female,3,1,Research Scientist,3,Married,2909,Yes,8,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,1,Male,3,1,Laboratory Technician,2,Married,3468,No,6,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,4,Male,3,1,Laboratory Technician,4,Single,3068,No,8,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,3,Female,4,1,Laboratory Technician,1,Married,2670,Yes,12,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,4,Male,3,1,Laboratory Technician,3,Divorced,2693,No,1,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,4,Male,2,3,Manufacturing Director,3,Single,9526,No,10,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,3,Male,3,2,Healthcare Representative,3,Married,5237,No,17,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,1,Male,4,1,Laboratory Technician,2,Married,2426,No,6,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,4,Female,2,2,Laboratory Technician,3,Single,4193,Yes,10,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,1,Male,3,1,Research Scientist,3,Divorced,2911,No,5,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,2,Male,3,1,Laboratory Technician,4,Divorced,2661,No,3,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,3,Male,2,1,Laboratory Technician,3,Single,2028,Yes,6,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,2,Female,4,3,Manufacturing Director,1,Divorced,9980,No,10,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,1,Male,4,1,Research Scientist,2,Divorced,3298,Yes,7,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,4,Male,4,1,Laboratory Technician,4,Divorced,2935,Yes,1,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,1,Female,2,4,Manager,4,Married,15427,No,31,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,4,Male,3,1,Research Scientist,4,Single,3944,Yes,6,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,1,Female,4,2,Manufacturing Director,3,Divorced,4011,No,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,3,Male,2,1,Sales Representative,1,Single,3407,No,10,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,1,Female,3,3,Research Director,2,Single,11994,No,13,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,3,Male,3,1,Research Scientist,4,Single,1232,No,0,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,2,Male,3,1,Research Scientist,1,Single,2960,No,8,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,3,Female,3,5,Manager,3,Divorced,19094,No,26,2,14,13,4,8
